Ref,Val,Package,PosX,PosY,Rot,Side
BT1,Battery_Cell,BatteryHolder_Keystone_3000_1x12mm,165.5,-99.5,90,top
C1,100nF,C_0603_1608Metric,161.225,-90,0,top
C2,100nF,C_0603_1608Metric,170.225,-107.5,180,top
C3,100nF,C_0603_1608Metric,149,-110.775,90,top
C4,100nF,C_0603_1608Metric,181.475,-86,180,top
FID1,Fiducial_0.5mm_Mask1.5mm,Fiducial_0.5mm_Mask1.5mm,131,-84,0,top
FID2,Fiducial_0.5mm_Mask1.5mm,Fiducial_0.5mm_Mask1.5mm,131,-92.5,0,top
FID3,Fiducial_0.5mm_Mask1.5mm,Fiducial_0.5mm_Mask1.5mm,135.5,-109.5,0,top
FID4,Fiducial_0.5mm_Mask1.5mm,Fiducial_0.5mm_Mask1.5mm,160,-92,0,top
FID5,Fiducial_0.5mm_Mask1.5mm,Fiducial_0.5mm_Mask1.5mm,173.5,-95,0,top
FID6,Fiducial_0.5mm_Mask1.5mm,Fiducial_0.5mm_Mask1.5mm,140.5,-110.5,0,top
FID7,Fiducial_0.5mm_Mask1.5mm,Fiducial_0.5mm_Mask1.5mm,178.149999,-85.5,0,top
FID8,Fiducial_0.5mm_Mask1.5mm,Fiducial_0.5mm_Mask1.5mm,183.149999,-105,0,top
FID9,Fiducial_0.5mm_Mask1.5mm,Fiducial_0.5mm_Mask1.5mm,183.149999,-108.5,0,top
J1,Conn_01x02_M_Battery,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,171.15,-85.5,180,top
J2,Conn_01x03_M_input_left,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,142.5,-105.5,-90,top
J3,Conn_01x07_M_input_right,JST_SH_SM07B-SRSS-TB_1x07-1MP_P1.00mm_Horizontal,170,-119.7,90,top
J4,Conn_01x08_M_Display,JST_GH_SM08B-GHS-TB_1x08-1MP_P1.25mm_Horizontal,145.85,-118.125,-90,top
J5,Micro_SD_Card,microSD_HC_Molex_47219-2001,158.125,-117.9,0,top
J6,Conn_01x03_IL_main,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,133,-97.2,90,top
J7,Conn_01x07_IR_main,JST_SH_SM07B-SRSS-TB_1x07-1MP_P1.00mm_Horizontal,180.649999,-98.75,-90,top
Q1,AO3401A,SOT-23,173,-110.9375,-90,top
R1,100k,R_0603_1608Metric,173.675,-107.5,0,top
R2,33,R_0603_1608Metric,173.5,-91.5,0,top
R3,10k,R_0603_1608Metric,155.825,-105,180,top
R4,10k,R_0603_1608Metric,159,-108.175,-90,top
R5,10k,R_0603_1608Metric,174.5,-114,-90,top
R6,10k,R_0603_1608Metric,161.675,-108.5,180,top
R7,10k,R_0603_1608Metric,168.5,-110.175,-90,top
R8,10k,R_0603_1608Metric,157,-108.175,-90,top
R9,4.7k,R_0603_1608Metric,155.675,-103,180,top
R10,4.7k,R_0603_1608Metric,155,-108.175,90,top
SW1,SW_power,SW_DIP_SPSTx01_Slide_Copal_CHS-01A_W5.08mm_P1.27mm_JPin,162.46,-87.5,0,top
SW2,SW_Push,SW_Push_1P1T_NO_CK_KMR2,133.45,-87.95,90,top
SW3,SW_Push,SW_Push_1P1T_NO_CK_KMR2,133.5,-105.5,90,top
SW4,SW_Push,SW_Push_1P1T_NO_CK_KMR2,179.949999,-107.4,90,top
U1,MAX17048,TDFN-8-1EP_2x2mm_P0.5mm_EP0.8x1.2mm,168.5125,-113.2,0,top
U2,DS3231MZ,SOIC-8_3.9x4.9mm_P1.27mm,162.5,-83,0,top
U3,XIAO-ESP32-S3-Plus-SMD,XIAO-ESP32-S3-Plus-SMD,148.255,-90.88,90,top
U4,MCP23017x-x-ML,QFN-28-1EP_6x6mm_P0.65mm_EP4.25x4.25mm,150.05,-105.5,90,top
U5,MT6701CT,SO-8_3.9x4.9mm_P1.27mm,180.825,-89.905,0,top
